Drug,Indication,Total Women Reports,Total Men Reports,Percentage Women Reports,Percentage Men Reports,Percentage Serious Women Reports,Percentage Serious Men Reports,NCT Numbers,Num Studies,Total females in studies,Total males in studies,Female proportion in studies,Male proportion in studies,Most relevant studies,Number of participants in most relevant studies,Number of female participants in most relevant studies,Number of male participants in most relevant studies,Proportion of females in most relevant studies,Proportion of males in most relevant studies,Prevalence Men,Prevalence Women,Prevalence Both Genders
HALOPERIDOL,SCHIZOPHRENIA,176,2049,7.91,92.09,99.43,99.76,"['NCT04327843', 'NCT00018850', 'NCT00159081', 'NCT00642369', 'NCT01136772', 'NCT00859872', 'NCT00156104', 'NCT00044044', 'NCT00169091', 'NCT02240173', 'NCT00007774', 'NCT00156065', 'NCT05995457', 'NCT00631722', 'NCT00018642', 'NCT00157378', 'NCT01161277', 'NCT00419653', 'NCT00753051', 'NCT03019887', 'NCT02431702', 'NCT02199743', 'NCT01123408', 'NCT00191555', 'NCT00189995', 'NCT00253110', 'NCT00485901', 'NCT02374567', 'NCT01052389', 'NCT01193166', 'NCT03075657', 'NCT02307396', 'NCT02600741', 'NCT00723606', 'NCT00947375', 'NCT01164059', 'NCT00838032', 'NCT00797277', 'NCT01157351']",39.0,1277.0,2743.0,31.77,68.23,"['NCT01157351', 'NCT00723606', 'NCT00044044']",2346,698,1648,29.752770673486783,70.24722932651322,0.9315765765765766,0.6637837837837837,0.7995045045045045
PALIPERIDONE,SCHIZOPHRENIA,5246,1738,75.11,24.89,100.0,80.26,"['NCT02087579', 'NCT00518323', 'NCT00796081', 'NCT01860781', 'NCT01662310', 'NCT00460512', 'NCT03390712', 'NCT00915512', 'NCT00210769', 'NCT00838669', 'NCT01136772', 'NCT00791401', 'NCT00791167', 'NCT00350467', 'NCT00827840', 'NCT01299389', 'NCT00761189', 'NCT01181960', 'NCT01577160', 'NCT01010776', 'NCT00796276', 'NCT01281527', 'NCT00752427', 'NCT02462473', 'NCT00073320', 'NCT01258920', 'NCT00086320', 'NCT00892320', 'NCT00396565', 'NCT01584466', 'NCT00334126', 'NCT01362426', 'NCT03730857', 'NCT01150448', 'NCT03809325', 'NCT03510325', 'NCT00892125', 'NCT00791622', 'NCT04940039', 'NCT06060886', 'NCT00330863', 'NCT00934635', 'NCT00796835', 'NCT03713658', 'NCT00473434', 'NCT00101634', 'NCT01110317', 'NCT00488319', 'NCT01279213', 'NCT00791713', 'NCT01451736', 'NCT00791349', 'NCT00645099', 'NCT01724359', 'NCT03425552', 'NCT00535132', 'NCT00791232', 'NCT00668837', 'NCT03666715', 'NCT00645307', 'NCT00796471', 'NCT04076371', 'NCT01541371', 'NCT00650793', 'NCT02075528', 'NCT01060228', 'NCT00761605', 'NCT01561898', 'NCT00590577', 'NCT01606254', 'NCT03019887', 'NCT00604279', 'NCT00761579', 'NCT03345979', 'NCT00791284', 'NCT02431702', 'NCT01947803', 'NCT00524043', 'NCT00784238', 'NCT00257023', 'NCT01399450', 'NCT00589914', 'NCT00077714', 'NCT01081769', 'NCT00083668', 'NCT01559272', 'NCT02374567', 'NCT00796640', 'NCT00111189', 'NCT00892489', 'NCT00796029', 'NCT00488891', 'NCT03080194', 'NCT04064476', 'NCT03557931', 'NCT00566631', 'NCT01685931', 'NCT01051531', 'NCT01942382', 'NCT02713282', 'NCT01448720', 'NCT01193166', 'NCT00105326', 'NCT00210548', 'NCT00085748', 'NCT01662648', 'NCT00758030', 'NCT02918825', 'NCT01362439', 'NCT00078039', 'NCT01577186', 'NCT00697658', 'NCT02307396', 'NCT02433717', 'NCT00210717', 'NCT03485417', 'NCT02600741', 'NCT00892541', 'NCT01094249', 'NCT01387542', 'NCT01284959', 'NCT00796432', 'NCT04572685', 'NCT00946985', 'NCT00796185', 'NCT00119756', 'NCT01670071', 'NCT00791193', 'NCT04922593', 'NCT01606228', 'NCT00937261', 'NCT01682161', 'NCT00757705', 'NCT01527305', 'NCT00535145', 'NCT01795547', 'NCT01009047', 'NCT02146547', 'NCT00790777', 'NCT01157351']",140.0,8574.0,12976.0,39.79,60.21,"['NCT00589914', 'NCT01662648', 'NCT01081769']",6190,2582,3608,41.7124394184168,58.2875605815832,0.9315765765765766,0.6637837837837837,0.7995045045045045
LOXAPINE,SCHIZOPHRENIA,79,2373,3.22,96.78,100.0,99.83,"['NCT00628589', 'NCT04148963', 'NCT00444028', 'NCT00369577', 'NCT02600741']",5.0,284.0,762.0,27.15,72.85,"['NCT00628589', 'NCT00369577', 'NCT00444028']",1046,284,762,27.151051625239003,72.848948374761,0.9315765765765766,0.6637837837837837,0.7995045045045045
PIMOZIDE,SCHIZOPHRENIA,11,1,91.67,8.33,100.0,0.0,"['NCT00158223', 'NCT02374567', 'NCT00374244', 'NCT02307396', 'NCT02600741']",5.0,40.0,122.0,24.69,75.31,"['NCT00158223', 'NCT00374244']",162,40,122,24.69135802469136,75.30864197530865,0.9315765765765766,0.6637837837837837,0.7995045045045045
LAMOTRIGINE,SCHIZOPHRENIA,113,4,96.58,3.42,100.0,100.0,"['NCT00531518', 'NCT00086593', 'NCT00071747', 'NCT02374567']",4.0,230.0,354.0,39.38,60.62,['NCT00531518'],584,230,354,39.38356164383562,60.61643835616438,0.9315765765765766,0.6637837837837837,0.7995045045045045
ASENAPINE,SCHIZOPHRENIA,1890,1218,60.81,39.19,99.37,83.58,"['NCT00212784', 'NCT01101464', 'NCT01098110', 'NCT00156104', 'NCT00156091', 'NCT00150176', 'NCT00156065', 'NCT01142596', 'NCT00156117', 'NCT00212836', 'NCT01617200', 'NCT01244828', 'NCT01190254', 'NCT02072954', 'NCT01617187', 'NCT00265343', 'NCT01190267', 'NCT00174265', 'NCT00145496', 'NCT01948024', 'NCT00151424', 'NCT01206517', 'NCT02600741', 'NCT01549041', 'NCT02876900', 'NCT00212771', 'NCT01968161']",27.0,3092.0,4709.0,39.64,60.36,"['NCT02876900', 'NCT01098110', 'NCT00145496']",3228,1280,1948,39.65303593556382,60.34696406443618,0.9315765765765766,0.6637837837837837,0.7995045045045045
FLUOXETINE,SCHIZOPHRENIA,10,873,1.13,98.87,80.0,98.28,"['NCT02593734', 'NCT00531518', 'NCT02374567']",3.0,230.0,354.0,39.38,60.62,['NCT00531518'],584,230,354,39.38356164383562,60.61643835616438,0.9315765765765766,0.6637837837837837,0.7995045045045045
CHLORPROMAZINE,SCHIZOPHRENIA,8,256,3.03,96.97,100.0,98.83,"['NCT00169039', 'NCT00654576', 'NCT02600741', 'NCT00882518', 'NCT02943213']",5.0,408.0,380.0,51.78,48.22,"['NCT00882518', 'NCT02943213']",788,408,380,51.776649746192895,48.22335025380711,0.9315765765765766,0.6637837837837837,0.7995045045045045
LURASIDONE,SCHIZOPHRENIA,753,24,96.91,3.09,99.87,100.0,"['NCT01979679', 'NCT04312503', 'NCT05213143', 'NCT01082250', 'NCT02174510', 'NCT01485640', 'NCT00044044', 'NCT00790192', 'NCT01082289', 'NCT01566162', 'NCT01620060', 'NCT03304457', 'NCT01082263', 'NCT01569659', 'NCT02002832', 'NCT01074632', 'NCT02282085', 'NCT01821378', 'NCT01914393', 'NCT00789698', 'NCT00641745', 'NCT01143077', 'NCT00088621', 'NCT01143090', 'NCT02199743', 'NCT02174523', 'NCT00711269', 'NCT05011669', 'NCT01911429', 'NCT01074073', 'NCT03557931', 'NCT03393026', 'NCT00088634', 'NCT00549718', 'NCT05351736', 'NCT04432688', 'NCT01435928', 'NCT00044005', 'NCT00615433', 'NCT03465787']",40.0,4204.0,7729.0,35.23,64.77,"['NCT01914393', 'NCT00549718', 'NCT00615433']",3330,1058,2272,31.77177177177177,68.22822822822823,0.9315765765765766,0.6637837837837837,0.7995045045045045
LORAZEPAM,SCHIZOPHRENIA,33,4,89.19,10.81,96.97,50.0,"['NCT00364429', 'NCT00159133', 'NCT02374567', 'NCT04004416', 'NCT00797277', 'NCT06093451']",6.0,52.0,82.0,38.81,61.19,['NCT00797277'],134,52,82,38.80597014925373,61.19402985074627,0.9315765765765766,0.6637837837837837,0.7995045045045045
ZIPRASIDONE,SCHIZOPHRENIA,1925,1409,57.74,42.26,99.58,86.16,"['NCT00649064', 'NCT02305823', 'NCT00515723', 'NCT02192723', 'NCT00645372', 'NCT00199940', 'NCT00145444', 'NCT00257192', 'NCT00650429', 'NCT00136994', 'NCT00265382', 'NCT00288366', 'NCT00748566', 'NCT00205725', 'NCT00347425', 'NCT00330863', 'NCT02534363', 'NCT04446234', 'NCT00538642', 'NCT00579670', 'NCT00644800', 'NCT02282085', 'NCT04076371', 'NCT00418171', 'NCT01714011', 'NCT00650611', 'NCT00458211', 'NCT02040883', 'NCT02935998', 'NCT00174447', 'NCT01198353', 'NCT02650102', 'NCT00148564', 'NCT01185743', 'NCT00044655', 'NCT00403546', 'NCT00014001', 'NCT00034801', 'NCT02374567', 'NCT00509067', 'NCT00649844', 'NCT00645229', 'NCT01053429', 'NCT03557931', 'NCT00395031', 'NCT00137020', 'NCT00634348', 'NCT02526030', 'NCT02307396', 'NCT02600741', 'NCT00723606', 'NCT00159770', 'NCT00351000', 'NCT00139737', 'NCT00406315', 'NCT03781115', 'NCT00224315', 'NCT00645515', 'NCT00229385', 'NCT00239109', 'NCT00225498', 'NCT00288353', 'NCT01006551', 'NCT00143351']",64.0,4075.0,4605.0,46.95,53.05,"['NCT01053429', 'NCT00351000', 'NCT00723606']",4895,2714,2181,55.44433094994893,44.55566905005107,0.9315765765765766,0.6637837837837837,0.7995045045045045
CITALOPRAM,SCHIZOPHRENIA,53,1064,4.74,95.26,100.0,100.0,"['NCT00047450', 'NCT01041274', 'NCT00231335', 'NCT00708396', 'NCT01032083', 'NCT01300364', 'NCT05603104', 'NCT02374567', 'NCT00456937', 'NCT00893256', 'NCT00148447']",11.0,98.0,216.0,31.21,68.79,"['NCT01041274', 'NCT01032083']",314,98,216,31.210191082802545,68.78980891719745,0.9315765765765766,0.6637837837837837,0.7995045045045045
BREXPIPRAZOLE,SCHIZOPHRENIA,205,65,75.93,24.07,100.0,87.69,"['NCT02054702', 'NCT02968121', 'NCT01396421', 'NCT06036108', 'NCT02411695', 'NCT02758067', 'NCT04641780', 'NCT03874494', 'NCT05119894', 'NCT03526354', 'NCT02194933', 'NCT05169268', 'NCT01854944', 'NCT01810380', 'NCT03557931', 'NCT03238326', 'NCT02013622', 'NCT03198078', 'NCT01810783', 'NCT01668797', 'NCT05325645', 'NCT05326347']",22.0,1664.0,2397.0,40.98,59.02,"['NCT01396421', 'NCT01810380', 'NCT03198078']",2832,1202,1630,42.44350282485876,57.55649717514124,0.9315765765765766,0.6637837837837837,0.7995045045045045
BUPROPION,SCHIZOPHRENIA,0,42,0.0,100.0,-1.0,100.0,"['NCT00320723', 'NCT01576640', 'NCT02736474', 'NCT00531518', 'NCT02676375', 'NCT00495352', 'NCT00124683', 'NCT00320697', 'NCT00307203', 'NCT02374567', 'NCT00136760', 'NCT00218231', 'NCT01111149', 'NCT02420015', 'NCT03132571']",15.0,405.0,703.0,36.55,63.45,"['NCT00531518', 'NCT02736474', 'NCT00136760']",898,373,525,41.53674832962138,58.46325167037863,0.9315765765765766,0.6637837837837837,0.7995045045045045
VALPROATE,SCHIZOPHRENIA,30,641,4.47,95.53,100.0,100.0,"['NCT03652974', 'NCT02011750', 'NCT05603104', 'NCT02926976', 'NCT00194025', 'NCT00167934']",6.0,42.0,78.0,35.0,65.0,"['NCT00167934', 'NCT00194025']",120,42,78,35.0,65.0,0.9315765765765766,0.6637837837837837,0.7995045045045045
QUETIAPINE FUMARATE,SCHIZOPHRENIA,0,14,0.0,100.0,-1.0,100.0,"['NCT00642369', 'NCT00304473', 'NCT00852631', 'NCT00305422', 'NCT00370500', 'NCT00919607', 'NCT00206102', 'NCT00428350', 'NCT00640601', 'NCT00085891', 'NCT01634373', 'NCT00090324', 'NCT00882518', 'NCT01213836', 'NCT00779506', 'NCT00838032', 'NCT00255515', 'NCT00034905', 'NCT00227305', 'NCT00254787']",20.0,2098.0,2546.0,45.18,54.82,"['NCT00206102', 'NCT00882518', 'NCT01213836']",3732,1712,2020,45.87352625937835,54.12647374062165,0.9315765765765766,0.6637837837837837,0.7995045045045045
CARBAMAZEPINE,EPILEPSY,705,474,59.8,40.2,89.22,88.82,"['NCT01954121', 'NCT00175903', 'NCT00807989', 'NCT00004758', 'NCT00236717', 'NCT05748236', 'NCT01128959', 'NCT00381537', 'NCT01127256', 'NCT00438451', 'NCT04610879', 'NCT02912364', 'NCT00477295', 'NCT00894010', 'NCT01030094', 'NCT02707965', 'NCT03196466', 'NCT04967326', 'NCT00612235', 'NCT00848549', 'NCT01465997', 'NCT01243177', 'NCT01079351', 'NCT02284854', 'NCT00896987']",25.0,3342.0,3673.0,47.64,52.36,"['NCT01243177', 'NCT00477295', 'NCT01465997']",4030,1792,2238,44.46650124069479,55.53349875930521,0.8441176470588235,0.7752941176470588,0.8064705882352942
GABAPENTIN,EPILEPSY,159,52,75.36,24.64,90.57,88.46,"['NCT00855738', 'NCT01138124', 'NCT01738893', 'NCT01236053', 'NCT02977208', 'NCT00537940', 'NCT03196466', 'NCT01821235']",8.0,2588502.0,2168193.0,54.42,45.58,"['NCT01236053', 'NCT01138124', 'NCT00537940']",4756584,2588450,2168134,54.41825478116228,45.581745218837725,0.8441176470588235,0.7752941176470588,0.8064705882352942
TOPIRAMATE,EPILEPSY,475,257,64.89,35.11,82.53,77.82,"['NCT00236743', 'NCT00855738', 'NCT01439438', 'NCT00598923', 'NCT00236704', 'NCT00266604', 'NCT00266591', 'NCT00236691', 'NCT00236860', 'NCT00154076', 'NCT01229735', 'NCT00236717', 'NCT00563459', 'NCT00236756', 'NCT00230698', 'NCT00236847', 'NCT01682681', 'NCT01030094', 'NCT01627860', 'NCT00236873', 'NCT00210782', 'NCT00210574', 'NCT02707965', 'NCT03196466', 'NCT00236730', 'NCT00236886', 'NCT00956696', 'NCT00236418', 'NCT01689649', 'NCT00297349', 'NCT00113815', 'NCT00231556', 'NCT00753493', 'NCT00701493', 'NCT02201251', 'NCT01114854']",36.0,1096.0,1348.0,44.84,55.16,"['NCT01682681', 'NCT01229735', 'NCT01689649']",2057,900,1157,43.75303840544482,56.24696159455518,0.8441176470588235,0.7752941176470588,0.8064705882352942
PHENYTOIN,EPILEPSY,659,146,81.86,18.14,97.57,91.1,"['NCT00004403', 'NCT00598923', 'NCT05697614', 'NCT00627575', 'NCT00610532', 'NCT01878578', 'NCT00908453', 'NCT02283827', 'NCT00210782', 'NCT02707965', 'NCT03196466', 'NCT04967326', 'NCT05637086', 'NCT01870024']",14.0,36.0,76.0,32.14,67.86,"['NCT02283827', 'NCT02707965', 'NCT00610532']",112,36,76,32.142857142857146,67.85714285714286,0.8441176470588235,0.7752941176470588,0.8064705882352942
OXCARBAZEPINE,EPILEPSY,151,101,59.92,40.08,82.12,63.37,"['NCT01891890', 'NCT05697614', 'NCT00275912', 'NCT01678976', 'NCT01498822', 'NCT00616863', 'NCT00050934', 'NCT00391534', 'NCT00900237', 'NCT00050947', 'NCT01679002', 'NCT00616681', 'NCT00618046', 'NCT03695094', 'NCT02707965', 'NCT03196466', 'NCT00275925', 'NCT00918424', 'NCT00908349']",19.0,615.0,627.0,49.52,50.48,"['NCT01498822', 'NCT00908349', 'NCT01891890']",1064,509,555,47.838345864661655,52.161654135338345,0.8441176470588235,0.7752941176470588,0.8064705882352942
CLOBAZAM,EPILEPSY,243,177,57.86,42.14,77.78,92.09,"['NCT01932502', 'NCT02565108', 'NCT05697614', 'NCT00162981', 'NCT00518713', 'NCT02564952', 'NCT03196466', 'NCT02134366', 'NCT02726919', 'NCT03371836']",10.0,284.0,406.0,41.16,58.84,"['NCT00518713', 'NCT00162981', 'NCT02565108']",652,260,392,39.87730061349693,60.122699386503065,0.8441176470588235,0.7752941176470588,0.8064705882352942
LAMOTRIGINE,EPILEPSY,815,242,77.11,22.89,89.82,86.78,"['NCT01657864', 'NCT01891890', 'NCT00855738', 'NCT01879423', 'NCT00043914', 'NCT05697614', 'NCT02404168', 'NCT00043901', 'NCT02283801', 'NCT00807989', 'NCT01376180', 'NCT01055327', 'NCT02064465', 'NCT05450822', 'NCT00104416', 'NCT05748236', 'NCT00266149', 'NCT00242606', 'NCT04939675', 'NCT00627575', 'NCT00264615', 'NCT05450978', 'NCT00044278', 'NCT00292461', 'NCT01064297', 'NCT00438451', 'NCT01357902', 'NCT01863602', 'NCT02100644', 'NCT00264680', 'NCT00412191', 'NCT03695094', 'NCT01733394', 'NCT00355082', 'NCT02707965', 'NCT03196466', 'NCT01995825', 'NCT00516139', 'NCT00612235', 'NCT00789113', 'NCT00916149', 'NCT00043875', 'NCT00280059', 'NCT00088452', 'NCT00137709', 'NCT00605371', 'NCT05881928', 'NCT01713777', 'NCT01607333', 'NCT00896987']",50.0,9238.0,2298.0,80.08,19.92,"['NCT01064297', 'NCT00280059', 'NCT00088452']",9054,7970,1084,88.02739120830572,11.97260879169428,0.8441176470588235,0.7752941176470588,0.8064705882352942
VALPROIC ACID,EPILEPSY,302,307,49.59,50.41,74.5,84.04,"['NCT05697614', 'NCT00004758', 'NCT00609245', 'NCT00264680', 'NCT01030094', 'NCT03196466', 'NCT04967326', 'NCT05641649', 'NCT00088452', 'NCT04529954']",10.0,526.0,389.0,57.49,42.51,"['NCT00088452', 'NCT00609245']",915,526,389,57.486338797814206,42.513661202185794,0.8441176470588235,0.7752941176470588,0.8064705882352942
DIVALPROEX SODIUM,EPILEPSY,120,220,35.29,64.71,56.67,96.36,"['NCT00318929', 'NCT01898676', 'NCT01060228', 'NCT00913874', 'NCT02707965', 'NCT00913848']",6.0,39.0,15.0,72.22,27.78,"['NCT02707965', 'NCT00318929']",54,39,15,72.22222222222221,27.77777777777778,0.8441176470588235,0.7752941176470588,0.8064705882352942
VALPROATE,EPILEPSY,64,55,53.78,46.22,89.06,96.36,"['NCT00175903', 'NCT00807989', 'NCT03940326', 'NCT00713622', 'NCT03681158', 'NCT00236717', 'NCT06393309', 'NCT00870688', 'NCT02899611', 'NCT00385411', 'NCT01064297', 'NCT01172626', 'NCT04191863', 'NCT05641649', 'NCT00137709', 'NCT05881928']",16.0,7171.0,353.0,95.31,4.69,"['NCT01064297', 'NCT00807989', 'NCT03940326']",7442,7128,314,95.7807041117979,4.219295888202096,0.8441176470588235,0.7752941176470588,0.8064705882352942
LEVETIRACETAM,EPILEPSY,926,1080,46.16,53.84,83.8,96.39,"['NCT01954121', 'NCT00175890', 'NCT01891890', 'NCT00175903', 'NCT00855738', 'NCT01318408', 'NCT00291655', 'NCT03953781', 'NCT01982812', 'NCT01392768', 'NCT00630968', 'NCT02726867', 'NCT00105040', 'NCT03489044', 'NCT02208492', 'NCT00152373', 'NCT00736931', 'NCT01506882', 'NCT00150774', 'NCT00376766', 'NCT03940326', 'NCT00630357', 'NCT05450822', 'NCT01498822', 'NCT04132063', 'NCT01229735', 'NCT04759196', 'NCT00152516', 'NCT00181116', 'NCT01261416', 'NCT00505934', 'NCT00150813', 'NCT00242606', 'NCT04939675', 'NCT00563459', 'NCT06393309', 'NCT00600509', 'NCT00221988', 'NCT05450978', 'NCT04172311', 'NCT00160628', 'NCT01228747', 'NCT00438451', 'NCT00150787', 'NCT04610879', 'NCT01063764', 'NCT05330390', 'NCT01407523', 'NCT00160550', 'NCT00631150', 'NCT00544050', 'NCT00571155', 'NCT00894010', 'NCT00361010', 'NCT00566046', 'NCT01660672', 'NCT00471744', 'NCT00535392', 'NCT03695094', 'NCT01375374', 'NCT02707965', 'NCT03196466', 'NCT00150748', 'NCT01521130', 'NCT00630630', 'NCT00150735', 'NCT00612235', 'NCT01345058', 'NCT00245713', 'NCT00916149', 'NCT00643500', 'NCT01292837', 'NCT00615615', 'NCT00160615', 'NCT01398956', 'NCT00150709', 'NCT00419393', 'NCT00319605', 'NCT02201251', 'NCT05722951', 'NCT00610454', 'NCT05969054', 'NCT00160654', 'NCT01463033']",84.0,3175.0,3686.0,46.28,53.72,"['NCT01954121', 'NCT00438451', 'NCT01498822']",2290,1014,1276,44.27947598253275,55.72052401746724,0.8441176470588235,0.7752941176470588,0.8064705882352942
LACOSAMIDE,EPILEPSY,324,244,57.04,42.96,96.3,92.21,"['NCT00530855', 'NCT02192814', 'NCT00938912', 'NCT02726867', 'NCT01118962', 'NCT01964560', 'NCT01673282', 'NCT02582866', 'NCT01710657', 'NCT01587339', 'NCT02477839', 'NCT01724918', 'NCT02408549', 'NCT04737837', 'NCT01450111', 'NCT01921205', 'NCT01190098', 'NCT01981447', 'NCT01484977', 'NCT01969851', 'NCT03607851', 'NCT00832884', 'NCT05422664', 'NCT02124564', 'NCT02710890', 'NCT01832038', 'NCT02408523', 'NCT05291455', 'NCT01620840', 'NCT00938431', 'NCT01375374', 'NCT03196466', 'NCT01345058', 'NCT00520741', 'NCT00515619', 'NCT04144218', 'NCT01118949', 'NCT01858870', 'NCT05788159', 'NCT04627285', 'NCT01465997', 'NCT04519645', 'NCT01243177', 'NCT01175954', 'NCT05969054']",45.0,5114.0,5609.0,47.69,52.31,"['NCT01243177', 'NCT01465997', 'NCT01710657']",3962,1816,2146,45.8354366481575,54.164563351842496,0.8441176470588235,0.7752941176470588,0.8064705882352942
PERAMPANEL,EPILEPSY,217,64,77.22,22.78,100.0,60.94,"['NCT02033902', 'NCT00144690', 'NCT05533814', 'NCT04252846', 'NCT02220972', 'NCT00368472', 'NCT04650204', 'NCT02876289', 'NCT04118829', 'NCT03457129', 'NCT05274035', 'NCT01209858', 'NCT03636958', 'NCT03836924', 'NCT06450236', 'NCT05257915', 'NCT02427607', 'NCT03457961', 'NCT00735397', 'NCT01240187', 'NCT06450223', 'NCT02914314', 'NCT02727101', 'NCT04230044', 'NCT03754582', 'NCT02726074', 'NCT03196466', 'NCT01161524', 'NCT04417907', 'NCT05497193']",30.0,949.0,951.0,49.95,50.05,"['NCT00735397', 'NCT01161524', 'NCT00368472']",1622,793,829,48.89025893958077,51.10974106041923,0.8441176470588235,0.7752941176470588,0.8064705882352942
PREGABALIN,EPILEPSY,6,7,46.15,53.85,100.0,14.29,"['NCT00855738', 'NCT01220180', 'NCT01309074', 'NCT00596466', 'NCT01587339', 'NCT01389596', 'NCT00372528', 'NCT00922987', 'NCT00143143', 'NCT00141414', 'NCT01128712', 'NCT00537940', 'NCT03196466', 'NCT00288639', 'NCT01463306', 'NCT00280059']",16.0,6345.0,6413.0,49.73,50.27,"['NCT01220180', 'NCT00280059', 'NCT01463306']",10878,5466,5412,50.24820739106454,49.75179260893546,0.8441176470588235,0.7752941176470588,0.8064705882352942
LORAZEPAM,EPILEPSY,11,14,44.0,56.0,81.82,85.71,"['NCT02564029', 'NCT00736931', 'NCT02134366', 'NCT01870024', 'NCT03021018']",5.0,51.0,48.0,51.52,48.48,"['NCT03021018', 'NCT02564029']",99,51,48,51.51515151515152,48.48484848484848,0.8441176470588235,0.7752941176470588,0.8064705882352942
MEMANTINE,EPILEPSY,25,0,100.0,0.0,100.0,-1.0,"['NCT04417543', 'NCT01054599', 'NCT00986115']",3.0,20.0,38.0,34.48,65.52,['NCT01054599'],58,20,38,34.48275862068966,65.51724137931035,0.8441176470588235,0.7752941176470588,0.8064705882352942
BRIVARACETAM,EPILEPSY,312,195,61.54,38.46,92.63,98.97,"['NCT01405508', 'NCT03517423', 'NCT00698581', 'NCT00464269', 'NCT01653262', 'NCT00736931', 'NCT00401648', 'NCT03685630', 'NCT00175825', 'NCT06315322', 'NCT00490035', 'NCT00175916', 'NCT03532516', 'NCT00150800', 'NCT00699283', 'NCT01364597', 'NCT03405714', 'NCT00504881', 'NCT04666610', 'NCT04715646', 'NCT00175929', 'NCT03695094', 'NCT00426673', 'NCT00761774', 'NCT03083665', 'NCT01261325', 'NCT00422422', 'NCT05109234', 'NCT03021018', 'NCT01339559', 'NCT03250377', 'NCT01728077']",32.0,4570.0,4691.0,49.35,50.65,"['NCT01261325', 'NCT00504881', 'NCT03083665']",3394,1738,1656,51.2080141426046,48.7919858573954,0.8441176470588235,0.7752941176470588,0.8064705882352942
SODIUM,EPILEPSY,29,7,80.56,19.44,100.0,100.0,"['NCT04219995', 'NCT00318929', 'NCT01898676', 'NCT00713622', 'NCT03681158', 'NCT06393309', 'NCT03354507', 'NCT00870688', 'NCT01060228', 'NCT05420805', 'NCT05500703', 'NCT04320940', 'NCT04112862', 'NCT00913874', 'NCT02707965', 'NCT01172626', 'NCT00913848', 'NCT05641649', 'NCT00137709', 'NCT05881928']",20.0,84.0,60.0,58.33,41.67,"['NCT00870688', 'NCT02707965', 'NCT00318929']",136,82,54,60.29411764705882,39.70588235294117,0.8441176470588235,0.7752941176470588,0.8064705882352942
FLUOXETINE,EPILEPSY,22,0,100.0,0.0,100.0,-1.0,"['NCT00986310', 'NCT02929667', 'NCT02569970']",3.0,10.0,34.0,22.73,77.27,"['NCT02929667', 'NCT00986310']",44,10,34,22.727272727272727,77.27272727272727,0.8441176470588235,0.7752941176470588,0.8064705882352942
VITAMIN,EPILEPSY,2,12,14.29,85.71,100.0,100.0,"['NCT02369822', 'NCT03536845', 'NCT04488172', 'NCT00869622', 'NCT00004637']",5.0,0.0,160.0,0.0,100.0,['NCT00869622'],160,0,160,0.0,100.0,0.8441176470588235,0.7752941176470588,0.8064705882352942
INTERFERON BETA-1A,MULTIPLE SCLEROSIS,5947,1677,78.0,22.0,89.96,88.91,"['NCT01500408', 'NCT00168714', 'NCT01610310', 'NCT01285401', 'NCT01142492', 'NCT01075880', 'NCT00915460', 'NCT01101776', 'NCT00913666', 'NCT02269930', 'NCT01892722', 'NCT03870763', 'NCT02294058', 'NCT02749396', 'NCT01247324', 'NCT02047734', 'NCT02076841', 'NCT00574041', 'NCT05298670', 'NCT03347370', 'NCT00050778', 'NCT02568111', 'NCT01272128', 'NCT00915577', 'NCT03958877', 'NCT00428584', 'NCT01201343', 'NCT02515695', 'NCT02230969', 'NCT02234869', 'NCT00828204', 'NCT01064401', 'NCT01911767', 'NCT00912860', 'NCT00599274', 'NCT02587065', 'NCT01142466', 'NCT01142557', 'NCT00530348', 'NCT02921035', 'NCT01332019', 'NCT05688436', 'NCT00906399', 'NCT02517788', 'NCT00534261', 'NCT03177083', 'NCT01058005', 'NCT00548405', 'NCT05242133', 'NCT01412333']",50.0,14627.0,7058.0,67.45,32.55,"['NCT01064401', 'NCT00906399', 'NCT02294058']",9398,6434,2964,68.46137476058736,31.53862523941264,0.1394736842105263,0.35947368421052633,0.2510526315789474
GLATIRAMER,MULTIPLE SCLEROSIS,2293,392,85.4,14.6,95.81,97.96,"['NCT03209479', 'NCT05762003', 'NCT03315923', 'NCT00819195', 'NCT00811395', 'NCT00202995', 'NCT00203112', 'NCT00203073', 'NCT01534182', 'NCT00202982', 'NCT00475865', 'NCT04928313', 'NCT00819000', 'NCT00240032', 'NCT01578785', 'NCT00039988', 'NCT04079088', 'NCT00398528', 'NCT01569451', 'NCT00451451', 'NCT00211887', 'NCT00337779', 'NCT00203021', 'NCT01067521', 'NCT03368664', 'NCT01633112', 'NCT05344469', 'NCT01167426', 'NCT00666224', 'NCT01404117', 'NCT00267319', 'NCT05688436', 'NCT00939549', 'NCT00203099', 'NCT00947752', 'NCT00239993', 'NCT04878211', 'NCT03500328', 'NCT01071083', 'NCT01058005', 'NCT00910598', 'NCT00331747', 'NCT00203047', 'NCT01489254']",44.0,12884.0,5010.0,72.0,28.0,"['NCT00451451', 'NCT01067521', 'NCT00337779']",7952,5550,2402,69.79376257545272,30.20623742454728,0.1394736842105263,0.35947368421052633,0.2510526315789474
