Drug,Indication,Total Women Reports,Total Men Reports,Percentage Women Reports,Percentage Men Reports,Percentage Serious Women Reports,Percentage Serious Men Reports,NCT Numbers
STUDY DRUG,DIABETES,4,39,9.3,90.7,100,100,['NCT00994682']
LANTUS CARTRIDGE,DIABETES,7,28,20,80,42.86,28.57,[]
PMS REPAGLINIDE,DIABETES,6,14,30,70,33.33,42.86,[]
DAPAGLIFLOZIN / METFORMIN,DIABETES,1588,2044,43.72,56.28,87.41,92.76,['NCT05440591']
METFORMIN HYDROCHLORIDE/SAXAGLIPTIN HYDROCHLORIDE,DIABETES,106,9,92.17,7.83,100,100,[]
HUMULIN N CARTRIDGE/KWIKPEN,DIABETES,12,15,44.44,55.56,83.33,66.67,[]
IRBESARTAN,DIABETES,76,2,97.44,2.56,92.11,0,"['NCT00317915', 'NCT00320879', 'NCT02842359', 'NCT00660309', 'NCT00549133']"
CANDESARTAN,DIABETES,72,4,94.74,5.26,97.22,0,"['NCT00328302', 'NCT00252720', 'NCT02332824', 'NCT01052272', 'NCT01116180', 'NCT00252694', 'NCT00252733']"
NOVOLIN,DIABETES,26,12,68.42,31.58,100,75,"['NCT00522210', 'NCT00772265', 'NCT00596063', 'NCT01358435', 'NCT03030300', 'NCT02956655', 'NCT01353469', 'NCT00147836', 'NCT03526536', 'NCT01308437']"
DROSPIRENONE / ETHINYL ESTRADIOL,DIABETES,14,43,24.56,75.44,100,95.35,[]
BYETTA PREFILLED PEN,DIABETES,9,4,69.23,30.77,77.78,0,[]
NOVOLIN GE NPH PENFILL 3 ML PENFILL CARTRIDGE,DIABETES,17,5,77.27,22.73,47.06,100,[]
GLUCAMINOL METFORMIN,DIABETES,15,0,100,0,100,-1,[]
METFORMIN HYDROCHLORIDE/SITAGLIPTIN PHOSPHATE MONOHYDRATE,DIABETES,735,665,52.5,47.5,94.42,92.03,[]
VEDOLIZUMAB,DIABETES,122,0,100,0,100,-1,['NCT05281614']
"INSULIN HUMAN, RDNA ORIGIN",DIABETES,211,184,53.42,46.58,91.94,88.04,[]
DIABETES MEDICATIONS,DIABETES,0,12,0,100,-1,100,[]
INFLIXIMAB,DIABETES,4,70,5.41,94.59,100,100,['NCT00175266']
LINAGLIPTIN,DIABETES,333,395,45.74,54.26,80.78,70.38,"['NCT03642184', 'NCT01969084', 'NCT01087502', 'NCT01708902', 'NCT03338803', 'NCT00641043', 'NCT02453555', 'NCT01438814', 'NCT02489968', 'NCT04564872', 'NCT00602472', 'NCT02106104', 'NCT02974504', 'NCT00716092', 'NCT05313529', 'NCT01422876', 'NCT03986073', 'NCT00935220', 'NCT02768220', 'NCT02280174', 'NCT03222765', 'NCT02004366', 'NCT01194830', 'NCT02372630', 'NCT06098625', 'NCT01214239', 'NCT00996658', 'NCT01888796', 'NCT01617824', 'NCT02180334', 'NCT04180813', 'NCT03936036', 'NCT02015299', 'NCT00736099', 'NCT04735042', 'NCT05347459', 'NCT02792400', 'NCT01897532', 'NCT01012037', 'NCT02077309', 'NCT02350478', 'NCT01835678', 'NCT00954447', 'NCT03011177', 'NCT01512979', 'NCT02725502', 'NCT03429543', 'NCT00309608', 'NCT00601250', 'NCT02061969', 'NCT00915772', 'NCT01547104', 'NCT00621140', 'NCT06095492', 'NCT05073692', 'NCT02240680', 'NCT02401880', 'NCT03609294', 'NCT01204294', 'NCT03320031', 'NCT04670666', 'NCT01703286', 'NCT05130463', 'NCT04341935', 'NCT02072096', 'NCT05066516', 'NCT01243424', 'NCT01792518', 'NCT01183013', 'NCT02752113', 'NCT02897349', 'NCT02097342', 'NCT01826370', 'NCT01903070', 'NCT03667300', 'NCT02429232', 'NCT03458715', 'NCT01734785', 'NCT01383356', 'NCT05886088', 'NCT02467478', 'NCT04371978', 'NCT01215097', 'NCT02092597', 'NCT01084005', 'NCT02140645', 'NCT02851745', 'NCT02608177', 'NCT00740051', 'NCT03470454', 'NCT06449833']"
HYDROCHLOROTHIAZIDE / TELMISARTAN,DIABETES,22,7,75.86,24.14,59.09,14.29,[]
DIAMICRON MR MODIFIED RELEASE BREAKABLE TABLET,DIABETES,22,24,47.83,52.17,77.27,87.5,[]
ROSUVASTATIN AND ACETYLSALICYLIC ACID,DIABETES,57,55,50.89,49.11,73.68,87.27,[]
VICTOZA 1.2MG PRE FILLED PEN INJECTOR. 15 DOSES1.2MG. 30DOSES0.6MG. 1 OR 2 PENS,DIABETES,12,32,27.27,72.73,75,40.62,[]
INSULIN HUMAN/INSULIN ISOPHANE HUMAN BIOSYNTHETIC,DIABETES,80,95,45.71,54.29,100,86.32,[]
PREGABALIN,DIABETES,0,14,0,100,-1,85.71,"['NCT01770964', 'NCT00370656', 'NCT05624853', 'NCT01939366', 'NCT02673866']"
INSULIN ISOPHANE HUMAN BIOSYNTHETIC,DIABETES,269,161,62.56,37.44,90.33,93.79,[]
INSULIN NPH HUMAN,DIABETES,4,10,28.57,71.43,75,100,[]
EMPAGLIFLOZIN / METFORMIN,DIABETES,210,230,47.73,52.27,96.19,93.91,[]
NOVOLIN GE NPH,DIABETES,39,57,40.62,59.38,87.18,78.95,[]
LANTUS VIAL,DIABETES,2,11,15.38,84.62,0,18.18,[]
LEVOTHYROXINE,DIABETES,0,50,0,100,-1,100,"['NCT02920385', 'NCT01379170', 'NCT03281083']"
DIANEAL PD4 CAPD SOLUTION WITH 4.25% DEXTROSE AND 2.5MEQ/L CALCIUM,DIABETES,6,7,46.15,53.85,100,100,[]
DIANEAL PD4 CAPD SOLUTION WITH 2.5% DEXTROSE AND 2.5MEQ/L CALCIUM,DIABETES,6,11,35.29,64.71,100,100,[]
PMS METFORMIN   TAB 500MG,DIABETES,8,21,27.59,72.41,100,71.43,[]
PERINDOPRIL,DIABETES,3,41,6.82,93.18,100,80.49,"['NCT00145925', 'NCT04222686', 'NCT02729441', 'NCT03393715', 'NCT03747978']"
ERTUGLIFLOZIN / SITAGLIPTIN,DIABETES,24,37,39.34,60.66,91.67,89.19,[]
"INSULIN, PORK",DIABETES,10,212,4.5,95.5,100,97.17,[]
HUMALOG INSULIN,DIABETES,11,0,100,0,100,-1,[]
KIDNEY TRANSPLANT,DIABETES,20,18,52.63,47.37,100,100,"['NCT05576116', 'NCT05662267', 'NCT00692562', 'NCT01967186', 'NCT05497232', 'NCT03921593']"
LEVEMIR FLEXTOUCH PREFILLED PEN INJECTOR 3ML CARTRIDGE,DIABETES,28,14,66.67,33.33,96.43,35.71,[]
CANAGLIFLOZIN,DIABETES,2001,1470,57.65,42.35,93.6,94.35,"['NCT03136484', 'NCT05427084', 'NCT02462421', 'NCT05364190', 'NCT01106690', 'NCT02139943', 'NCT01483781', 'NCT03936010', 'NCT06099067', 'NCT05422092', 'NCT04014192', 'NCT03492580', 'NCT02065791', 'NCT03267576', 'NCT01809327', 'NCT02220920', 'NCT02360774', 'NCT02354222', 'NCT02694263', 'NCT01273558', 'NCT01939496', 'NCT03604224', 'NCT02920918', 'NCT02622113', 'NCT03249506', 'NCT05347459', 'NCT02964585', 'NCT02597309', 'NCT04288778', 'NCT05856578', 'NCT01106677', 'NCT02891954', 'NCT01340664', 'NCT02673138', 'NCT02624908', 'NCT02912455', 'NCT01064414', 'NCT00968812', 'NCT01137812', 'NCT05507892', 'NCT05513729', 'NCT01032629', 'NCT01106625', 'NCT05135039', 'NCT05367063', 'NCT02354235', 'NCT01081834', 'NCT03170518', 'NCT02227849', 'NCT02324842', 'NCT01381900', 'NCT02000700', 'NCT01128985', 'NCT02653209', 'NCT03298009', 'NCT02142309', 'NCT02220907', 'NCT02025907', 'NCT02009488', 'NCT00642278', 'NCT04796428', 'NCT04304261', 'NCT03190798', 'NCT01106651', 'NCT01989754', 'NCT01381887']"
BYETTA 1.2ML PREFILLED PEN. 60 DOSES OF 5ΜG/DOSE.,DIABETES,14,0,100,0,100,-1,[]
METFORMIN / SAXAGLIPTIN,DIABETES,19,29,39.58,60.42,73.68,100,[]
CLIKSTAR,DIABETES,17,6,73.91,26.09,100,16.67,[]
UNKNOWN MEDICATION,DIABETES,3,42,6.67,93.33,0,100,[]
NOVOLIN GE TORONTO,DIABETES,3,8,27.27,72.73,100,50,[]
LINAGLIPTIN / METFORMIN,DIABETES,84,64,56.76,43.24,91.67,95.31,[]
PANCREAS TRANSPLANT,DIABETES,10,8,55.56,44.44,100,100,"['NCT01067950', 'NCT03869281', 'NCT05576116', 'NCT02066350', 'NCT03921593']"
NOVORAPID FLEXTOUCH   PREFILLED MULTIDOSE DISPOSABLE INSULIN DELIVERY DEVICE CONTAINING A 3ML CARTRIDGE,DIABETES,6,30,16.67,83.33,16.67,73.33,[]
NOVORAPID 10ML VIAL,DIABETES,4,10,28.57,71.43,100,60,[]
NOVORAPID 3ML PENFILL CARTRIDGE,DIABETES,80,38,67.8,32.2,90,65.79,[]
APO GLICLAZIDE MR MODIFIED RELEASE BREAKABLE TABLETS,DIABETES,10,4,71.43,28.57,20,25,[]
TOUJEO SOLOSTAR 1.5ML 450 IU PREFILLED PEN,DIABETES,44,31,58.67,41.33,65.91,54.84,[]
TRULICITY 0.5ML SINGLE USE PEN,DIABETES,39,34,53.42,46.58,43.59,47.06,[]
PREDNISONE,DIABETES,11,4,73.33,26.67,100,0,"['NCT04357392', 'NCT03661684', 'NCT03304626', 'NCT03367663']"
CANAGLIFLOZIN / METFORMIN,DIABETES,14,60,18.92,81.08,100,35,[]
INSULATARD NPH PENFILL,DIABETES,10,18,35.71,64.29,100,100,[]
TRULICITY 0.5ML PREFILLED SYRINGE,DIABETES,5,6,45.45,54.55,100,16.67,[]
FIASP 3ML PENFILL CARTRIDGE,DIABETES,6,8,42.86,57.14,0,100,[]
FIASP 10ML VIAL,DIABETES,5,91,5.21,94.79,80,100,[]
ALOGLIPTIN,DIABETES,19,3,86.36,13.64,100,100,"['NCT01023581', 'NCT04470310', 'NCT00395512', 'NCT00755846', 'NCT01521962', 'NCT00286494', 'NCT00432276', 'NCT03555565', 'NCT01456130', 'NCT03042325', 'NCT01318122', 'NCT00655863', 'NCT01318135', 'NCT01263496', 'NCT01664624', 'NCT01289119', 'NCT02856113', 'NCT03794336', 'NCT02989649', 'NCT01945242', 'NCT01318070', 'NCT01263470', 'NCT01263509', 'NCT02763007', 'NCT01632007', 'NCT00707993', 'NCT01318083', 'NCT01263483', 'NCT00763347', 'NCT01588587', 'NCT00306384', 'NCT00856284', 'NCT02221284', 'NCT02231021', 'NCT02068443', 'NCT00968708', 'NCT00286455', 'NCT01303055', 'NCT00957268', 'NCT00286468', 'NCT02798172', 'NCT03499704', 'NCT04980040', 'NCT05782192', 'NCT05073692', 'NCT00286429', 'NCT00328627', 'NCT04392557', 'NCT01890122', 'NCT01964963', 'NCT01945216', 'NCT00286442', 'NCT01990300', 'NCT02756832', 'NCT03231709', 'NCT01318109', 'NCT02771093', 'NCT03950505']"
TRESIBA FLEXTOUCH PREFILLED PEN,DIABETES,127,108,54.04,45.96,92.13,91.67,[]
FIASP 3ML PRE FILLED PEN,DIABETES,10,18,35.71,64.29,100,50,[]
SEMAGLUTIDE,DIABETES,1572,928,62.88,37.12,90.39,93.75,"['NCT04287179', 'NCT02146079', 'NCT05144984', 'NCT03136484', 'NCT02231684', 'NCT05597202', 'NCT05786521', 'NCT03598621', 'NCT04126603', 'NCT02827708', 'NCT01885208', 'NCT04862923', 'NCT04873050', 'NCT04469855', 'NCT05078255', 'NCT03061214', 'NCT01923181', 'NCT03648281', 'NCT02773381', 'NCT05249881', 'NCT03724981', 'NCT06411210', 'NCT03457012', 'NCT06184568', 'NCT05340868', 'NCT05569772', 'NCT04624672', 'NCT05689372', 'NCT04513704', 'NCT02648204', 'NCT02212067', 'NCT05441267', 'NCT03288740', 'NCT05779644', 'NCT05195944', 'NCT06161844', 'NCT02461589', 'NCT04153929', 'NCT02849080', 'NCT05502562', 'NCT05443191', 'NCT06301191', 'NCT05129891', 'NCT05305794', 'NCT05755360', 'NCT01272973', 'NCT05046873', 'NCT04596631', 'NCT05035082', 'NCT00813020', 'NCT02557620', 'NCT04083820', 'NCT04741074', 'NCT06323174', 'NCT05990374', 'NCT04016974', 'NCT05788965', 'NCT04175665', 'NCT05816057', 'NCT00696657', 'NCT01866748', 'NCT04189848', 'NCT04979130', 'NCT03611322', 'NCT06339086', 'NCT03631186', 'NCT06082063', 'NCT00833716', 'NCT05950516', 'NCT04537624', 'NCT06422624', 'NCT02845219', 'NCT02863419', 'NCT02172313', 'NCT04515849', 'NCT06318442', 'NCT02079870', 'NCT04916470', 'NCT06083675', 'NCT04447859', 'NCT04097600', 'NCT05478252', 'NCT03989232', 'NCT05468632', 'NCT04524832', 'NCT05649137', 'NCT04094415', 'NCT04152915', 'NCT04559815', 'NCT05230615', 'NCT03876015', 'NCT02920385', 'NCT04007107', 'NCT04938388', 'NCT02161588', 'NCT01930188', 'NCT03789578', 'NCT02210871', 'NCT03144271', 'NCT02249871', 'NCT05606471', 'NCT02016911', 'NCT05577728', 'NCT06323161', 'NCT03811561', 'NCT04854083', 'NCT05501483', 'NCT05714683', 'NCT02054897', 'NCT04383197', 'NCT01324505', 'NCT05780905', 'NCT02243098', 'NCT04560998', 'NCT01619345', 'NCT06050577', 'NCT06057077', 'NCT06338553', 'NCT06003153', 'NCT05444153', 'NCT01572753', 'NCT03951753', 'NCT06042153', 'NCT04601753', 'NCT02022254', 'NCT05537233', 'NCT04261933', 'NCT05119179', 'NCT03929679', 'NCT03985384', 'NCT03899402', 'NCT05067621', 'NCT06045221', 'NCT05153564', 'NCT05984238', 'NCT05819138', 'NCT05232708', 'NCT04109508', 'NCT03596450', 'NCT02877355', 'NCT04639414', 'NCT02305381', 'NCT05498610', 'NCT02249910', 'NCT02070510', 'NCT05813912', 'NCT06005012', 'NCT01720446', 'NCT04707469', 'NCT06221969', 'NCT05443568', 'NCT06131372', 'NCT04259801', 'NCT03466567', 'NCT06065540', 'NCT04601740', 'NCT04817644', 'NCT05230589', 'NCT05316662', 'NCT05870462', 'NCT02254291', 'NCT00851773', 'NCT05702931', 'NCT02147431', 'NCT06269120', 'NCT03015220', 'NCT02207374', 'NCT03689374', 'NCT02607865', 'NCT05486065', 'NCT02060266', 'NCT03914326', 'NCT05303857', 'NCT02064348', 'NCT06351748', 'NCT02906930', 'NCT03086330', 'NCT06260722', 'NCT05473286', 'NCT05514535', 'NCT05073835', 'NCT05147896', 'NCT03191396', 'NCT05227196', 'NCT02692716', 'NCT05716724', 'NCT05443334', 'NCT05394519', 'NCT03987919', 'NCT06243536', 'NCT06256549', 'NCT04878406', 'NCT04892199', 'NCT04067999', 'NCT05689099', 'NCT06387199', 'NCT04865770', 'NCT03010475', 'NCT04982575', 'NCT02014259', 'NCT04061200', 'NCT04538352', 'NCT05533632', 'NCT02128932', 'NCT04017832', 'NCT04451837', 'NCT04537637', 'NCT03292315', 'NCT05857085', 'NCT04251156', 'NCT05822609', 'NCT05390307', 'NCT03638778', 'NCT04878393', 'NCT02863328', 'NCT03018028', 'NCT06403761', 'NCT04032197', 'NCT05071898', 'NCT01686945', 'NCT04143945', 'NCT01766245', 'NCT05768945', 'NCT04109547', 'NCT05435677', 'NCT03819153', 'NCT05259033', 'NCT03021187']"
OZEMPIC MULTIDOSE PREFILLED PEN DISPENSES 1MG DOSE,DIABETES,257,196,56.73,43.27,78.99,83.16,[]
NOVOMIX 30 3ML PENFILL CARTRIDGE,DIABETES,12,13,48,52,100,100,[]
FENOFIBRATE,DIABETES,10,1,90.91,9.09,100,100,"['NCT03869931', 'NCT00000620', 'NCT05365425', 'NCT01752842', 'NCT00491400', 'NCT01927315', 'NCT00965315', 'NCT00490178', 'NCT04882293', 'NCT02153879', 'NCT03829514', 'NCT00309712', 'NCT04528212', 'NCT01101204', 'NCT00703482', 'NCT00362765', 'NCT00261352', 'NCT02015988', 'NCT01320345', 'NCT05542147', 'NCT04885153']"
DULAGLUTIDE,DIABETES,331,149,68.96,31.04,91.54,89.93,"['NCT03824002', 'NCT04829903', 'NCT03724981', 'NCT02750410', 'NCT04641312', 'NCT04731272', 'NCT04466904', 'NCT02648204', 'NCT05680129', 'NCT01648582', 'NCT04591626', 'NCT04189848', 'NCT05348122', 'NCT05564039', 'NCT06235086', 'NCT05606913', 'NCT06148649', 'NCT04965506', 'NCT01524770', 'NCT02973100', 'NCT03861052', 'NCT01394952', 'NCT05659537', 'NCT04867785', 'NCT05459285', 'NCT05478707', 'NCT01769378', 'NCT01621178', 'NCT02787551', 'NCT03648554', 'NCT04255433', 'NCT05377333', 'NCT03131687', 'NCT03495102', 'NCT04143802', 'NCT01432938', 'NCT01458210', 'NCT01436201', 'NCT03315780', 'NCT05140694', 'NCT04515576', 'NCT03015220', 'NCT04809220', 'NCT06257966', 'NCT02963766', 'NCT05516966', 'NCT03590626', 'NCT04893148', 'NCT05005741', 'NCT05048719', 'NCT02597049', 'NCT03444142', 'NCT03684642', 'NCT03668470', 'NCT01667900', 'NCT01644500', 'NCT05218915', 'NCT02759107', 'NCT04374578', 'NCT02152371', 'NCT05407961']"
SAXENDA 3ML MULTIDOSE PREFILLED PEN. EACH PEN DELIVERS DOSES OF 0.6MG 1.2MG 1.8MG 2.4MG AND 3MG,DIABETES,19,0,100,0,100,-1,[]
OZEMPIC MULTIDOSE PREFILLED PEN DISPENSES 0.25MG OR 0.5MG DOSE,DIABETES,700,344,67.05,32.95,89.71,82.27,[]
FIASP 3ML PDS290,DIABETES,48,1190,3.88,96.12,100,99.5,[]
PERINDOPRIL ERBUMINE,DIABETES,5,50,9.09,90.91,0,100,[]
PANTOPRAZOLE,DIABETES,87,0,100,0,100,-1,"['NCT02345239', 'NCT01541735', 'NCT00768651']"
APIDRA 3ML SOLOSTAR PRE FILLED PEN,DIABETES,10,1,90.91,9.09,40,100,[]
BASAGLAR KWIKPEN   DELIVERS UP TO 80 UNITS PER INJECTION,DIABETES,14,4,77.78,22.22,35.71,100,[]
NOVO RAPID INSULIN,DIABETES,5,1674,0.3,99.7,100,100,[]
ADMELOG SOLOSTAR 3ML PREFILLED PEN,DIABETES,13,11,54.17,45.83,61.54,72.73,[]
INSULIN NPH PORCINE,DIABETES,0,192,0,100,-1,100,[]
TRURAPI MULTIDOSE PREFILLED PEN,DIABETES,30,15,66.67,33.33,80,66.67,[]
TRURAPI CARTRIDGE,DIABETES,14,5,73.68,26.32,14.29,0,[]
ADMELOG 10ML VIAL,DIABETES,16,1,94.12,5.88,37.5,0,[]
ADMELOG 3ML CARTRIDGE,DIABETES,16,3,84.21,15.79,87.5,0,[]
APO SITAGLIPTIN/METFORMIN XR,DIABETES,26,8,76.47,23.53,53.85,0,[]
METFORMIN/SITAGLIPTINE,DIABETES,13,7,65,35,0,42.86,[]
APO SITAGLIPTIN MALATE,DIABETES,43,14,75.44,24.56,58.14,57.14,[]
APO SITAGLIPTIN MALATE / METFORMIN HYDROCHLORIDE,DIABETES,69,37,65.09,34.91,28.99,37.84,[]
APO SITAGLIPTIN METFORMIN,DIABETES,27,13,67.5,32.5,66.67,53.85,[]
METFORMIN/SITAGLIPTIN,DIABETES,61,43,58.65,41.35,45.9,72.09,['NCT01624116']
SANDOZ SITAGLIPTIN METFORMIN,DIABETES,90,61,59.6,40.4,30,24.59,[]
SANDOZ SITAGLIPTIN METFORMIN XR,DIABETES,14,8,63.64,36.36,50,12.5,[]
AURO SITAGLIPTIN,DIABETES,31,0,100,0,100,-1,[]
SEMGLEE PRE FILLED PEN,DIABETES,4,9,30.77,69.23,100,100,[]
METFORMIN HYDROCHLORIDE/SITAGLIPTIN PHOSPHATE,DIABETES,142,92,60.68,39.32,86.62,95.65,[]
TRURAPI VIAL,DIABETES,23,49,31.94,68.06,65.22,63.27,[]
INSULIN GLARGINE / LIXISENATIDE,DIABETES,34,0,100,0,100,-1,[]
COMBINATIONS,DIABETES,37,19,66.07,33.93,100,100,"['NCT04017221', 'NCT01302639', 'NCT06273215']"
DAPAGLIFLOZIN / SAXAGLIPTIN,DIABETES,178,132,57.42,42.58,98.88,94.7,[]
DEXAMETHASONE,DIABETES,0,20,0,100,-1,100,"['NCT01488279', 'NCT06332690', 'NCT04902638', 'NCT01787669', 'NCT01673191', 'NCT01774474', 'NCT02399657', 'NCT03361709', 'NCT02235584', 'NCT00608101', 'NCT01030601', 'NCT06190158', 'NCT03646916']"
(S)-WARFARIN,DIABETES,0,29,0,100,-1,100,[]
INSULIN-CONTAINING PRODUCT,DIABETES,9,7,56.25,43.75,100,100,[]
EMPAGLIFLOZIN / LINAGLIPTIN,DIABETES,67,121,35.64,64.36,95.52,100,['NCT04735042']
HUMALIN,DIABETES,54,0,100,0,100,-1,[]
GLIPIZIDE,DIABETES,16,7,69.57,30.43,56.25,42.86,"['NCT01020123', 'NCT01762046', 'NCT02911792', 'NCT01267448', 'NCT00947024', 'NCT00509236', 'NCT00094770', 'NCT01698775', 'NCT00347100', 'NCT00095056', 'NCT01758471', 'NCT00707993', 'NCT00350779', 'NCT00856284', 'NCT00946504', 'NCT05073692', 'NCT00550329', 'NCT00509262', 'NCT00513630', 'NCT00732524', 'NCT00885352', 'NCT00086515', 'NCT00660907', 'NCT04167761', 'NCT02608177', 'NCT01951651']"
PERINDOPRIL ARGININE,DIABETES,0,76,0,100,-1,100,['NCT04222686']
INSULIN HUMALOG,DIABETES,1,18,5.26,94.74,100,77.78,[]
METFORMIN HYDROCHLORIDE/ROSIGLITAZONE MALEATE,DIABETES,16,68,19.05,80.95,100,100,[]
ESZOPICLONE,DIABETES,21,0,100,0,100,-1,['NCT01887691']
RIVAROXABAN,DIABETES,14,0,100,0,100,-1,['NCT02935855']
TRANDOLAPRIL,DIABETES,14,0,100,0,100,-1,"['NCT00235014', 'NCT00234871']"
EXENATIDE,DIABETES,24,15,61.54,38.46,91.67,93.33,"['NCT01156779', 'NCT01364584', 'NCT00775684', 'NCT01003184', 'NCT04897802', 'NCT00658021', 'NCT02380521', 'NCT01798264', 'NCT02449603', 'NCT00676338', 'NCT01144338', 'NCT01885208', 'NCT00241423', 'NCT02194595', 'NCT00082381', 'NCT00974272', 'NCT01575301', 'NCT00917267', 'NCT03970044', 'NCT02974244', 'NCT00635492', 'NCT01006889', 'NCT00572689', 'NCT01652729', 'NCT00964262', 'NCT00359762', 'NCT00870194', 'NCT01843127', 'NCT01302327', 'NCT02090673', 'NCT00518882', 'NCT00099320', 'NCT00516074', 'NCT01791465', 'NCT03018665', 'NCT01381926', 'NCT00717457', 'NCT02987348', 'NCT00135330', 'NCT02887625', 'NCT00894322', 'NCT00603239', 'NCT02104739', 'NCT00382239', 'NCT01029886', 'NCT01181986', 'NCT00701935', 'NCT00799435', 'NCT01652716', 'NCT01676116', 'NCT02020616', 'NCT01664624', 'NCT00577824', 'NCT01269034', 'NCT00943917', 'NCT01107717', 'NCT00765817', 'NCT03059719', 'NCT01235819', 'NCT02119819', 'NCT01554618', 'NCT01744236', 'NCT01416649', 'NCT01876849', 'NCT01060059', 'NCT00971659', 'NCT00254800', 'NCT03017352', 'NCT00935532', 'NCT00641056', 'NCT00082407', 'NCT01776788', 'NCT01785771', 'NCT01140893', 'NCT03167411', 'NCT01281228', 'NCT00960661', 'NCT00517283', 'NCT01524705', 'NCT01136798', 'NCT01269047', 'NCT00950677', 'NCT02787551', 'NCT03029351', 'NCT02084654', 'NCT00099333', 'NCT01154933', 'NCT00359879', 'NCT03297879', 'NCT05670379', 'NCT02811484', 'NCT01046721', 'NCT01855490', 'NCT00877890', 'NCT01077323', 'NCT00064714', 'NCT02802514', 'NCT00477581', 'NCT02981069', 'NCT01089569', 'NCT00085969', 'NCT00747968', 'NCT00948168', 'NCT00529204', 'NCT00313001', 'NCT01104701', 'NCT00111540', 'NCT05762744', 'NCT00375492', 'NCT05073692', 'NCT03331289', 'NCT05482789', 'NCT01928329', 'NCT03007329', 'NCT01435980', 'NCT01270191', 'NCT00612794', 'NCT02325960', 'NCT02455076', 'NCT01147627', 'NCT00637273', 'NCT02735031', 'NCT00707031', 'NCT02586831', 'NCT04001231', 'NCT00845182', 'NCT02584582', 'NCT02467920', 'NCT00729326', 'NCT02917057', 'NCT00766857', 'NCT00516048', 'NCT02303730', 'NCT00308139', 'NCT00855439', 'NCT00324363', 'NCT00103935', 'NCT00259896', 'NCT02072096', 'NCT00753896', 'NCT03419624', 'NCT00360334', 'NCT00353834', 'NCT01783717', 'NCT02344641', 'NCT04303819', 'NCT00099619', 'NCT01588418', 'NCT01076842', 'NCT00381342', 'NCT01342042', 'NCT03444142', 'NCT00097500', 'NCT00456300', 'NCT00667732', 'NCT00518115', 'NCT02129985', 'NCT03961256', 'NCT02229383', 'NCT04307797', 'NCT02092597', 'NCT01432405', 'NCT03361098', 'NCT01473147', 'NCT01951651', 'NCT02793154', 'NCT00434954', 'NCT00254254', 'NCT01064687']"
INSULIN LISPRO/INSULIN LISPRO PROTAMINE SUSPENSION,DIABETES,12,6,66.67,33.33,100,100,[]
SOLOSTAR U300,DIABETES,13,168,7.18,92.82,100,96.43,[]
INSULIN ISOPHANE NPH,DIABETES,21,2,91.3,8.7,100,0,[]
DAPAGLIFLOZIN/METFORMIN,DIABETES,8,5,61.54,38.46,100,100,"['NCT03968224', 'NCT01535677']"
DAPAGLIFLOZIN PROPANEDIOL MONOHYDRATE/METFORMIN HYDROCHLORIDE,DIABETES,61,4,93.85,6.15,100,100,[]
INSULIN ASPART/INSULIN ASPART PROTAMINE CRYSTALLINE,DIABETES,7,9,43.75,56.25,100,100,[]
INSULIN GLULISINE RECOMBINANT DNA ORIGIN,DIABETES,59,134,30.57,69.43,96.61,79.85,[]
INSULIN ISOPHANE HUMAN SEMI SYNTHETIC,DIABETES,72,1,98.63,1.37,100,0,[]
AMOXICILLIN TRIHYDRATE,DIABETES,13,0,100,0,100,-1,[]
ABATACEPT,DIABETES,17,63,21.25,78.75,58.82,34.92,"['NCT05742243', 'NCT00276250', 'NCT03929601', 'NCT01773707', 'NCT04118153']"
METFORMIN/ROSIGLITAZONE,DIABETES,52,7,88.14,11.86,100,100,[]
DESMOPRESSIN,DIABETES,11,0,100,0,100,-1,"['NCT01280188', 'NCT00004364', 'NCT00004363']"
SULFAMETHOXAZOLE / TRIMETHOPRIM,DIABETES,6,5,54.55,45.45,100,100,[]
INSULIN NOVOLIN,DIABETES,21,0,100,0,80.95,-1,[]
GLYCON METFORMIN HYDROCHLORIDE,DIABETES,34,1,97.14,2.86,5.88,100,[]
BASAL INSULIN,DIABETES,0,48,0,100,-1,100,"['NCT05904743', 'NCT03018938', 'NCT01398995', 'NCT02194595', 'NCT06236672', 'NCT03130101', 'NCT02974244', 'NCT03547427', 'NCT04726631', 'NCT02987348', 'NCT02204839', 'NCT01871558', 'NCT00866658', 'NCT00715624', 'NCT01060059', 'NCT01850615', 'NCT00276393', 'NCT06024928', 'NCT03138447', 'NCT04864977', 'NCT00974051', 'NCT01445951', 'NCT04965051', 'NCT02846233', 'NCT03819790', 'NCT03104738', 'NCT03845114', 'NCT01424046', 'NCT02941367', 'NCT00593489', 'NCT02033889', 'NCT05161429', 'NCT02917057', 'NCT02767596', 'NCT02803918', 'NCT00467649', 'NCT02660242', 'NCT00394407', 'NCT04809311', 'NCT04974528']"
BISOPROLOL AND ACETYLSALICYLIC ACID,DIABETES,0,14,0,100,-1,100,[]
JANUVIA SITAGLIPTIN,DIABETES,0,35,0,100,-1,100,[]
EMPAGLIFLOZIN/METFORMIN,DIABETES,0,12,0,100,-1,100,"['NCT05822674', 'NCT03639545']"
INSULIN ZINC HUMAN,DIABETES,16,0,100,0,0,-1,[]
NOVORAPID FLEXTOUCH 3ML PREFILLED PEN,DIABETES,2,9,18.18,81.82,100,100,[]
NOVOLIN GE 30/70 10 ML VIAL,DIABETES,0,20,0,100,-1,100,[]
